Difficulty,Title,Link,Topics
MEDIUM,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,H-Index,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
MEDIUM,Decode String,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Find All Good Indices,https://leetcode.com/problems/find-all-good-indices,"Array, Dynamic Programming, Prefix Sum"
EASY,Degree of an Array,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
EASY,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Maximum Value at a Given Index in a Bounded Array,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,"Math, Binary Search, Greedy"
MEDIUM,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,"Hash Table, Linked List"
